"Year","No","Title","Artist","trackid","spotifyartist","Acousticness"
1975,"22","""Lady Marmalade""","Labelle","3GGcwG519BTMdvMeFy7meT","Patti LaBelle",0.551
1975,"23","""Why Can't We Be Friends""","War","413T0g8pNNXYX6t5RqHvx7","War",0.193
1975,"24","""Love Won't Let Me Wait""","Major Harris","1x48SKzygHrVgDSs4V1nIQ","Major Harris",0.898
1975,"25","""Boogie On Reggae Woman""","Stevie Wonder","4J334pN3dHCsUaRrjgCTDv","Stevie Wonder",0.202
1975,"26","""Wasted Days and Wasted Nights""","Freddy Fender","0Ao3qWJKueyfs3iqwGN30F","Freddy Fender",0.559
1975,"27","""Fight the Power""","The Isley Brothers","5q5qmdfdJAVOv1mbSk7xxN","The Isley Brothers",0.0619
1975,"28","""Angie Baby""","Helen Reddy","7Jx87mZSCjUWlVDCLiRFK6","Helen Reddy",0.48
1975,"29","""Jackie Blue""","Ozark Mountain Daredevils","1R9EHsvzpXwOvlGkgDmE55","The Ozark Mountain Daredevils",0.354
1975,"30","""Fire""","Ohio Players","6nKmlxPDecfVYew1olKBtH","Ohio Players",0.353
1975,"31","""Magic""","Pilot","500h8jAdr7LvzzXlm1qxtK","Pilot",0.346
1975,"32","""Please Mr. Postman""","The Carpenters","6RMo3zv9VjmcGi4V5O3cOL","Carpenters",0.157
1975,"33","""Sister Golden Hair""","America","5VSAonaAPhhGn0G7hMYwWK","America",0.13
1975,"34","""Lucy in the Sky with Diamonds""","Elton John","7wBmWdMs0cWeWZGFBhJeOB","Elton John",0.0556
1975,"35","""Mandy""","Barry Manilow","4oV4dVj0evVFhjPLvUz8w8","Barry Manilow",0.373
1975,"36","""Have You Never Been Mellow""","Olivia Newton-John",NA,NA,NA
1975,"37","""Could It Be Magic""","Barry Manilow","6FDrn47S3Q4s9rhLHm4um0","Barry Manilow",0.85
1975,"38","""Cat's in the Cradle""","Harry Chapin","6hLqEJg2GnnDG4W0Y64hyD","Harry Chapin",0.456
1975,"39","""Wildfire""","Michael Martin Murphey","737c89v3Zdit8EUyNJ7KeS","Michael Martin Murphey",0.252
1975,"40","""I'm Not Lisa""","Jessi Colter","2G9HPwBaHica41sMtQ7QvX","Jessi Colter",0.578
1975,"41","""Listen to What the Man Said""","Wings","3hFYMKAolw99FZMXEGgGwv","Paul McCartney",0.108
1975,"42","""I'm Not in Love""","10cc","1A6Kwtsg3JWKU2KWM2udpM","10cc",0.696
1975,"43","""I Can Help""","Billy Swan","5J9DSJl3OLV8AqYm4rPa2x","Billy Swan",0.503
1975,"44","""Fallin' in Love""","Hamilton, Joe Frank & Reynolds","4LUGyzMUXBQdBZsrBxylMZ","Various Artists",0.504
1975,"45","""Feelings""","Morris Albert","58xaG4P5HeG7K2rgu0WPCl","Morris Albert",0.834
1975,"46","""Chevy Van""","Sammy Johns","5l1bSjZLNSSSv9tKljoGr2","Sammy Johns",0.541
1975,"47","""When Will I Be Loved""","Linda Ronstadt","5jPPjNMIi1rD6BvQqxhJh5","Linda Ronstadt",0.186
1975,"48","""You're the First, the Last, My Everything""","Barry White","7DgDK5QcafTFqvS416EmBB","Barry White",0.000631
1975,"49","""Please Mr. Please""","Olivia Newton-John",NA,NA,NA
1975,"50","""You're No Good""","Linda Ronstadt","23DZLSxCK6kM8FF2RlzKDl","Linda Ronstadt",0.245
1975,"51","""Dynomite""","Bazuka","7cE7ct32F7NS9q1rHuKVMj","Various Artists",0.198
1975,"52","""Walking in Rhythm""","The Blackbyrds","65vssm44ghOVf4tBZMY2AE","The Blackbyrds",0.0238
1975,"53","""The Way We Were/Try to Remember""","Gladys Knight & the Pips","0YJyGgl3Gt2aFALzsJgZdC","Soundmachine",0.0148
1975,"54","""Midnight Blue""","Melissa Manchester","0N3qcAXZM06zaTKm7JCtIh","Melissa Manchester",0.737
1975,"55","""Don't Call Us, We'll Call You""","Sugarloaf","7q7uDXPaBfWGUOdnGZMqbq","Sugarloaf",0.841
1975,"56","""Poetry Man""","Phoebe Snow","5uhULfoDgTvz7BeWlqrV4a","Phoebe Snow",0.41
1975,"57","""How Long?""","Ace","4AjKVyNUMdUveKK5OH1OJD","Ace",0.587
1975,"58","""Express""","B.T. Express","7aUA2QLuPtuaBgnxLSAbnZ","B.T. Express",0.000113
1975,"59","""That's the Way of the World""","Earth, Wind & Fire",NA,NA,NA
1975,"60","""Lady""","Styx","1wpRglLhQ092N1rftlDMD3","Styx",0.186
1975,"61","""Bad Time""","Grand Funk","5h2XR7VWvJ7jPhbvCyuYee","Grand Funk Railroad",0.228
1975,"62","""Only Women Bleed""","Alice Cooper","59xDvLlKHcLI0c9CSmzxSN","Alice Cooper",0.555
1975,"63","""Doctor's Orders""","Carol Douglas","0mOIj8tjNHcOBWSTGXmGVr","Various Artists",0.0499
1975,"64","""Get Down Tonight""","KC and the Sunshine Band","4msPRe3NEDVL6dsBcE7AhL","KC & The Sunshine Band",0.134
1975,"65","""One Man Woman/One Woman Man""","Paul Anka & Odia Coates",NA,NA,NA
1975,"66","""You Are So Beautiful""","Joe Cocker","1gJOqXpRjz9GeEEwQpcujK","Joe Cocker",0.83
1975,"67","""Feel Like Makin' Love""","Bad Company","3KPwt1LBpt1jVSHz8GXERo","Bad Company",0.326
1975,"68","""How Sweet It Is (To Be Loved by You)""","James Taylor","2RwFdFIN9JAyVUzevwkzez","James Taylor",0.252
1975,"69","""Dance with Me""","Orleans","2GORop0i2cyx8C0A3JzL44","Orleans",0.564
1975,"70","""Cut the Cake""","Average White Band","0wNUTleNAhiAFPghCxLt27","Average White Band",0.0928
1975,"71","""Never Can Say Goodbye""","Gloria Gaynor","74oM7In7SK968uzGTteon3","Gloria Gaynor",0.121
1975,"72","""I Don't Like to Sleep Alone""","Paul Anka","5wxryeO5FKBJIrVcCPGVib","Paul Anka",0.339
